Time,Source_IP,Destination_IP,Source_Port,Destination_Port,MQTT_Type,MQTT_Topic,MQTT_Payload,Temperature (°C),Humidity (%),Packet_Length,Protocol,Dir,Flgs,SrcBytes,DstBytes,Load,Loss,Jitter,SrcGap,DstGap,SIntPkt,DIntPkt,SIntPktAct,DIntPktAct,sMaxPktSz,dMaxPktSz,sMinPktSz,dMinPktSz,Dur,Trans,TotPkts,TotBytes,Rate,Label
1744349715,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,4.224078579,3.027997971,3.027997971,3.027997971,3.027997971,3.027997971,3.027997971,58,57,57,58,3.027997971,1,1,115,0.330240306,0
1744349718,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.166124272,3.029663086,3.029663086,3.029663086,3.029663086,3.029663086,3.029663086,58,57,57,58,3.029663086,1,1,115,0.33005881,0
1744349721,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.924894215,3.026839018,3.026839018,3.026839018,3.026839018,3.026839018,3.026839018,58,57,57,58,3.026839018,1,1,115,0.330366748,0
1744349724,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.667523915,3.033058882,3.033058882,3.033058882,3.033058882,3.033058882,3.033058882,58,57,57,58,3.033058882,1,1,115,0.329689291,0
1744349727,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,3.647506681,3.029539108,3.029539108,3.029539108,3.029539108,3.029539108,3.029539108,58,57,57,58,3.029539108,1,1,115,0.330072317,0
1744349730,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,3.534896325,2.96818018,2.96818018,2.96818018,2.96818018,2.96818018,2.96818018,58,57,57,58,2.96818018,1,1,115,0.336895421,0
1744349733,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,0,1.530290481,3.031484842,3.031484842,3.031484842,3.031484842,3.031484842,3.031484842,58,57,57,58,3.031484842,1,1,115,0.32986047,0
1744349736,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,2.852262872,3.022423983,3.022423983,3.022423983,3.022423983,3.022423983,3.022423983,58,57,57,58,3.022423983,1,1,115,0.330849319,0
1744349739,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,4.972243325,3.032026052,3.032026052,3.032026052,3.032026052,3.032026052,3.032026052,58,57,57,58,3.032026052,1,1,115,0.329801592,0
1744349742,192.168.166.26,192.168.166.182,58776,1883,3,sensor/temp_humidity,"Temperature: 23.40C, Humidity: 41.00%",23.4,41,115,MQTT,Inbound,0x0018,57,58,11.5,1,0.212548139,3.029653072,3.029653072,3.029653072,3.029653072,3.029653072,3.029653072,58,57,57,58,3.029653072,1,1,115,0.330059901,0
